domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"In computing virtualization, the Trap-And-Emulate approach:",Is used only to intercept sensitive (and not privileged) CPU instructions.,Is used only to intercept privileged CPU instructions.,Is used only to intercept system calls.,Can be used to emulate all the instructions that generate a trap.,D,"Trap-and-Emulate relies on the hardware generating a trap (exception) when a privileged instruction is executed by the Guest. The hypervisor catches this trap and emulates the instruction. If an instruction generates a trap, it can be handled this way."
CPU para-virtualization:,Replaces some source code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.,Replaces system calls with an equivalent function of the GuestOS kernel.,Replaces system calls with an equivalent function of the HostOS kernel.,Replaces some binary code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.,A,"Paravirtualization involves modifying the Guest OS source code. Instead of executing sensitive instructions that would trap, the Guest uses ""hypercalls"" to explicitly request operations from the Hypervisor."
Modern CPUs:,"Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed).","Have 8 CPU rings, but we can use only 4 of them at each time.","Have many CPU rings, and 2 of them are intended for executing OS kernels.",Have 8 CPU rings (from least to most privileged),C,"With hardware virtualization extensions (like Intel VT-x), we have Root Mode (Host) and Non-Root Mode (Guest). Both have Ring 0. Thus, there are 2 Rings intended for kernels (Host Ring 0 and Guest Ring 0)."
Dynamic binary translation:,Always refers to an instruction executed by the HostOS kernel.,Can refer to an instruction executed by GuestOS kernel.,Always refers to an instruction executed by userland applications.,Always refers to an instruction executed by the GuestOS kernel.,B,"Binary Translation is a technique where the hypervisor inspects Guest OS kernel code at runtime and replaces unsafe/sensitive instructions with safe blocks of code to avoid traps."
"In a virtualized system, VMEntry and VMExit instructions:",Enable fast transitions between userspace and GuestOS kernel.,Are almost equivalent to the Trap-And-Emulate approach.,Enable fast transitions between GuestOS and HostOS kernels.,Enable fast transitions between userspace and HostOS kernel.,C,"VMEntry and VMExit are specific hardware instructions provided by virtualization extensions (like VMX) to switch context between the Hypervisor (Host/Root) and the VM (Guest/Non-Root)."
"In computing virtualization, a hypervisor:",Must use para-virtualization techniques to emulate a very large number of physical devices.,Must use direct I/O assignment techniques to emulate a very large number of physical devices.,Is usually able to emulate a very large number of physical devices.,Is usually able to emulate a very small number of physical devices.,D,"Emulating exact physical hardware (registers, electrical behavior) is computationally expensive. Hypervisors typically emulate only a small set of generic devices, relying on paravirtualization (VirtIO) for the rest."
"The image (i.e., ISO) of a modern operating system used in a VM:","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para-virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para-virtualized devices (eg., VIRTIO).",B,"Standard OS images are built to run on physical hardware, so they contain many physical drivers. Modern kernels also include paravirtualized drivers (like virtio) to run efficiently in VMs."
Libvirt:,"Provides graphical access to VMs running on different hypervisors (KVM, VMware, etc).",Provides graphical access to KVM-based VMs.,Simplifies the interaction with KVM-based VMs.,"Simplifies the interaction with VMs running on different hypervisors (KVM, Vmware, etc).",D,"Libvirt is an abstraction library/API that provides a common interface to manage various hypervisors (KVM, Xen, VMware), decoupling management tools from the underlying technology."
In Linux:,Both QEMU and KVM run in user space.,Both QEMU and KVM run in kernel space.,"QEMU runs in kernel space, KVM runs in user space.","QEMU runs in user space, KVM runs in kernel space.",D,"KVM is the kernel module acting as the hypervisor (vCPU context). QEMU is the userspace process that uses KVM for acceleration and handles device emulation."
Implementing a hot migration of a VM to another server requires moving the state of:,The applications running in the VM.,"The entire VM (i.e., applications and GuestOS kernel).","The entire VM (i.e., applications and GuestOS kernel) plus the state of the hypervisor.","The entire VM (i.e., applications and GuestOS kernel), plus some additional data kept in the hypervisor.",D,"Migration requires moving the VM's memory (Guest state) and the virtual device state (buffers, registers) which is maintained by the hypervisor (QEMU)."
