domanda,opzioneA,opzioneB,optionC,opzioneD,,soluzione
Why did Amazon start cloud computing services like AWS?,To compete with Google,To sell unused computing capacity during non-peak times,To replace physical datacenters,,B
In which year was Amazon Web Services (AWS) introduced?,2000,2006,2010,,B
Which services are part of AWS?,EC2 and S3,Gmail and Google Docs,OpenStack and Kubernetes,,A
Why is it called cloud computing?,Services are stored in the sky,Users do not care about physical location of services,It only works wirelessly,,B
What best defines cloud computing?,Local fixed resources,A shared pool of on-demand configurable resources,Only storage services,,B
Which deployment model uses third-party resources?,Private cloud,Public cloud,Hybrid cloud,,B
Which cloud model combines public and private clouds?,Private cloud,Community cloud,Hybrid cloud,,C
Which is NOT an advantage of public cloud?,Elasticity,Pay-per-use model,Low latency for autonomous driving,,C
Which is a limitation of cloud computing?,Automatic updates,Data location and network latency,Unlimited resources,,B
Why is cloud not suitable for autonomous driving?,High cost,Network latency issues,Lack of virtualization,,B
Why are Cloud Management Systems needed?,To manage servers centrally,To remove servers,To increase storage,,A
Which CMS is mainly used for containers?,OpenStack,Kubernetes,VMware vSphere,,B
Which CMS is mainly used for virtual machines?,Docker,OpenStack,Lambda,,B
What does Hardware as a Service (HaaS) provide?,Virtual machines,Physical space with power and cooling,Ready applications,,B
Which model supports lift-and-shift?,PaaS,SaaS,IaaS,,C
Why is PaaS more expensive than IaaS?,Provider manages scalability,Less storage available,No virtualization,,A
Which model allows using software without coding?,IaaS,PaaS,SaaS,,C
Which is an example of SaaS?,Amazon EC2,Google Docs,Kubernetes,,B
What is Cloud at the Edge designed for?,High-latency apps,Low-latency and data-intensive apps,Email services,,B
What is liquid computing?,A production cloud service,User-selected deployment,A research approach that decides where apps run,,C
Why are datacenters far from city centers?,Security concerns,High land cost,Network limits,,B
What is the purpose of hot and cold corridors?,Increase bandwidth,Optimize cooling airflow,Separate users,,B
What is a cloud zone?,A group of regions,A single logical datacenter,A country-wide network,,B
Why are multiple zones used in a region?,Reduce cost,Improve availability and resilience,Limit access,,B
Who is responsible for resiliency without managed services?,Cloud provider,Customer,IXP,,B
