domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"VPNs (virtual private networks) are used to","Partition a private network (for example the one of a parent company with various subsidiaries) in multiple networks virtually separated","Divide a corporate local area network in a set of separate subnets, each for a different corporate function","Transport private traffic through a shared infrastructure while creating the same conditions the traffic would undergo through a private infrastructure",N/A,C,"Le VPN permettono di estendere una rete privata attraverso una rete pubblica (come Internet), creando un tunnel sicuro che emula un collegamento privato diretto."
"The Layer 3 VPN solutions based on MPLS are characterized by","A good level of automation and integration between the public backbone and private networks","Particularly high security thanks to the deployment of cryptographic techniques","Layer 3 tunneling mechanisms, namely within IP packets","A mix of Layer 2 and Layer 3 tunnelling mechanisms",A,"Le VPN MPLS Layer 3 (L3VPN) offrono alta scalabilità e automazione perché il provider gestisce il routing, integrando facilmente le sedi dei clienti nel backbone MPLS."
"The IPsec 'Tunnel Mode' encompasses the encryption of","The IP header, TCP/UDP header, and payload of the internal packet","Only the TCP/UDP header and payload","Only the payload of the internal packet","The whole external packet, header included",A,"In Tunnel Mode, l'intero pacchetto IP originale (incluso il suo header) viene cifrato e incapsulato in un nuovo pacchetto IP. L'header esterno non è cifrato per permettere il routing."
"Two hosts A (130.192.1.1/25) and B (130.192.1.129/24) belong to the same physical network.","A directly communicates with B and vice versa","A directly communicates with B but not vice versa","A can communicate with B only by means of a router","A cannot communicate with B",C,"Per A (/25), B (129) è fuori dalla sottorete (range 0-127), quindi invia al gateway. Per B (/24), A (1) è nella sottorete, quindi invia diretto (ARP). La comunicazione è asimmetrica e fallisce senza router/proxy ARP adeguati, ma dal punto di vista di A serve un router."
"Which of these techniques is not a solution for the IPv4-IPv6 transition?","6to4","6over4","Teredo","6mix4",D,"6to4, 6over4 e Teredo sono meccanismi di transizione reali. '6mix4' è un nome inventato non esistente negli standard."
"In the DS-Lite solution for the IPv4-IPv6 transition","The entries of the filtering database of an Ethernet switch","The NAT feature is not available","The NAT feature is implemented for all users on proper ISP devices","The NAT feature is implemented on both the CPE and the ISP devices",C,"DS-Lite (Dual-Stack Lite) sposta il NAT IPv4 dalla CPE dell'utente alla rete dell'ISP (CGNAT su AFTR), incapsulando il traffico IPv4 in IPv6."
"The metric (cost) used by a routing algorithm","Expresses the probability to use the shortest path","Expresses the complexity of the algorithm in performing the path computation","Expresses the weight assigned to a link (channel) in the path selection",N/A,C,"La metrica è un valore numerico assegnato ai link che i protocolli di routing usano per calcolare il percorso migliore (es. basato su banda, ritardo, hop count)."
"BGP is used in the Internet for","Find out the geographic position of a host based on its IP address","Discovering neighboring (bordering) routers on a local are network","Communicating to neighboring routers the state of the links of a router","The exchange of routing information between routers belonging to different autonomous systems",D,"BGP (Border Gateway Protocol) è il protocollo standard per il routing inter-dominio, usato per scambiare informazioni di raggiungibilità tra diversi Autonomous System (AS)."
"The difference between link state and distance vector routing algorithms is:","Link state algorithms send local information only to neighboring nodes; distance vector send global information to all nodes","Link state algorithms send local information to all nodes in the network; distance vector send global information only to neighboring nodes","Link state algorithms send global information to all nodes in the network; distance vector send local information only to neighboring nodes",N/A,B,"Link State (es. OSPF) inonda (flooding) lo stato dei propri link a tutti i nodi. Distance Vector (es. RIP) invia l'intera tabella di routing (info globali stimate) solo ai vicini."
"RIP is characterized by","The suitability to both interdomain and intradomain routing","The possibility to operate on large networks thank to its capability to function in a hierarchical way","The usage of a link state routing algorithm","Frequent instability and inclination to create circular forwarding paths (i.e., routing loops)",D,"RIP è un protocollo Distance Vector che soffre del problema del 'Count to Infinity' e può creare loop di routing durante i transitori, mitigati parzialmente da split horizon e poison reverse."
