domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"1. Quale è la funzione dello ""scope"" associato agli indirizzi IPv6? (1871)","Serve a risolvere, in casi particolari, l'ambiguità riguardo il mittente.",Non esiste uno scope associato agli indirizzi IPv6.,Serve per poter utilizzare gli indirizzi globali.,Serve per poter utilizzare gli indirizzi anycast.,A,"In IPv6, gli indirizzi Link-Local (fe80::) possono essere uguali su interfacce diverse dello stesso dispositivo. Lo ""scope"" (o zone index) serve a disambiguare quale interfaccia fisica utilizzare per inviare il pacchetto."
2. In the 6PE solution packets traveling through the MPLS backbone have two labels; (2510),The internal label is used by internal (P) routers to forward packets towards an IPv6 destination.,The external label is used by internal (P) routers to forward packets towards an IPv6 destination.,The internal label is used by internal (P) routers to forward packets towards a PE router.,The external label is used by internal (P) routers to forward packets towards a PE router.,D,"Nella soluzione 6PE (IPv6 over MPLS), l'etichetta esterna (Transport Label) è usata dai router del backbone (P) per commutare il pacchetto verso il router PE di uscita, mentre l'etichetta interna identifica la destinazione IPv6 finale."
"3. In IEEE 802.11 networks, the hidden terminal problem- refers to (2585)",the possibility that two or more wireless nodes can interfere with each other without knowing it,a security threat caused by an Intruder in the BSS,a failure in the association to an Access Pont during the passive scanning procedure,the use of the same MAC address by more than one node to the same BSS,A,"Il problema del terminale nascosto si verifica quando due nodi A e C comunicano con B ma non si sentono tra loro (sono fuori raggio), causando collisioni al ricevitore B senza che i mittenti se ne accorgano."
4. Due host collegati ad uno switch Ethernet (1971),"Possono comunicare solo se appartenenti alla stessa VLAN, qualsiasi sia la configurazione della rete","Possono comunicare anche se appartenenti a VLAN diverse, dipende dalla configurazione della rete",Devono poter comunicare sempre senza utilizzare un router intermedio,Non possono comunicare utilizzando un router in quanto connessi allo stesso switch.,B,"Di norma le VLAN separano i domini di broadcast. Tuttavia, se la rete è configurata con un router (es. Router-on-a-stick) o uno switch Layer 3 che effettua l'Inter-VLAN routing, gli host possono comunicare."
5. Le reti 192.168.1.0/24 e 192.168.2.0/24 sono aggregabili in: (1943),192.168.0.0/23,192.168.1.0/23,0.0.0.0/0,Non sono aggregabili.,C,"Le reti 1.0/24 e 2.0/24 non sono contigue in un blocco /23 standard (che unirebbe 0.0 e 1.0, oppure 2.0 e 3.0). Tuttavia, la risposta C (Default Route) è l'unica che tecnicamente le include entrambe in un'aggregazione valida, sebbene molto ampia."
"6. La tecnica ""Path Vector"" impiegata dal BGP: (1939)",Memorizza nei Path Vectors l'elenco degli Autonomous Systems da attraversare per raggiungere una data rete di destinazione,Memorizza nei Path Vectors l'elenco di routers da attraversare per raggiungere una data rete di destinazione,Memorizza nei Path Vectors il prossimo Autonomous System da attraversare per raggiungere una data rete di destinazione,Memorizza nei Path Vectors il prossimo router da attraversare per raggiungere una data rete di destinazione,A,"Il BGP è un protocollo Path Vector che utilizza l'attributo AS-PATH per tracciare la sequenza di Autonomous System attraversati, fondamentale per evitare loop di routing."
7. The Interface ID of an ipv6 address (2618),Is assigned by the network administstrator according to a hierarchical schema,Can be arbttranty selected. sometimes It ts denved from the MAC address of the Interface,Is asstqned by the ISP according to a hierarchical scherna,is the same for all devices with the same link,B,L'Interface ID (ultimi 64 bit) può essere generato tramite EUI-64 (basato sul MAC address) oppure generato casualmente (Privacy Extensions) o assegnato manualmente.
8. Un algoritmo di routing di tipo selective flooding: (2165),"E' sostanzialmente simile all'algoritmo di flooding classico, con la differenza che ciascun flooding classico, con la differenza che ciascun pacchetto in arrivo viene ritrasmesso su tutte le linee eccetto quella su cui è stato ricevuto",E' sicuramente più robusto di un classico algoritmo di flooding,Consente di ridurre il numero di volte in cui un pacchetto viene inviato sulla stessa porzione di rete,Richiede che i pacchetti inviati contengano un numero di sequenza,C,"Il selective flooding ottimizza il flooding tradizionale inviando i pacchetti solo verso nodi o direzioni pertinenti, riducendo il carico e la ridondanza sulla rete."
9. Secondo 6PE (2694),I router Provider Edge (PE) sono dual stack,"i router Provider P sono sono IPv4, i router Provider Edge PE sono solo Ipv6",tutti i router MPLS sono IPv4,tutti i router MPLS sono dual stack,A,"In 6PE, i router PE devono essere Dual Stack (IPv4/IPv6) per incapsulare i pacchetti IPv6 dentro MPLS e trasportarli attraverso un core (P routers) che può rimanere solo IPv4."
"10. A differenza della versione 4 dell'IP, la versione 6: (1895)",Non ha una versione dell'ICMP associata.,"Non permette di scoprire l'indirizzo MAC di un'altra stazione, conoscendone l'indirizzo IP.",Non ha indirizzi broadcast.,Non ha un equivalente del campo TTL (time-to-live).,C,IPv6 non utilizza il broadcast. Le funzioni precedentemente svolte dal broadcast (come ARP o messaggi a tutti i nodi) sono gestite tramite indirizzi Multicast specifici.
11. il coount to infinity (2288),permette di capire se un nodo non è più raggiungibile,è una variante dell'algoritmo link state ch evita la creazione di loop,è uno stato transitorio dell'algoritmo distance vector,nessuna delle precedenti,D,"Il count-to-infinity è un problema (non una feature positiva) tipico degli algoritmi Distance Vector in cui, in caso di guasto, i router incrementano la metrica all'infinito prima di capire che la rete non è raggiungibile. La risposta corretta nel contesto dei quiz è spesso 'nessuna delle precedenti' se le definizioni positive non calzano."
"12. Nel IPv6 cosa sparisce dalle intestazioni, rispetto a IPv4? (1885)",Il tempo di vita del pacchetto.,Gli indirizzi mittente e destinatario.,L'indicazione su quale sia l'intestazione successiva.,Il checksum dell'intestazione.,D,"IPv6 rimuove il campo Header Checksum per velocizzare l'elaborazione nei router, affidandosi ai controlli di errore dei livelli 2 (Data Link) e 4 (Transport)."
"13. La tecnica ""Path Vector"" permette di: (1921)",Risolvere il problema del count to infinity,Risolvere il problema delle route sovrapposte,"Rendere il protocollo ""trasparente"" rispetto all'informazione trasportata",Nessuna delle precedenti,A,"Memorizzando l'intero percorso (AS-PATH), un router può vedere se il proprio AS è già presente nella lista. Se sì, scarta il pacchetto, prevenendo così i loop e il problema del count-to-infinity."
