domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"1. Quale è la funzione dello ""scope"" associato agli indirizzi IPv6? (1871)","Serve a risolvere, in casi particolari, l'ambiguità riguardo il mittente.", , , ,A,"In IPv6, gli indirizzi Link-Local (fe80::) possono essere uguali su interfacce diverse dello stesso dispositivo. Lo ""scope"" (o zone index) serve a disambiguare quale interfaccia fisica utilizzare per inviare il pacchetto."
2. In the 6PE solution packets traveling through the MPLS backbone have two labels; (2510), , , ,The external label is used by internal (P) routers to forward packets towards a PE router.,D,"Nella soluzione 6PE (IPv6 over MPLS), l'etichetta esterna (Transport Label) è usata dai router del backbone (P) per commutare il pacchetto verso il router PE di uscita, mentre l'etichetta interna identifica la destinazione IPv6 finale."
"3. In IEEE 802.11 networks, the hidden terminal problem- refers to (2585)",the possibility that two or more wireless nodes can interfere with each other without knowing it, , , ,A,"Il problema del terminale nascosto si verifica quando due nodi A e C comunicano con B ma non si sentono tra loro (sono fuori raggio), causando collisioni al ricevitore B senza che i mittenti se ne accorgano."
4. Due host collegati ad uno switch Ethernet (1971), ,"Possono comunicare anche se appartenenti a VLAN diverse, dipende dalla configurazione della rete", , ,B,"Di norma le VLAN separano i domini di broadcast. Tuttavia, se la rete è configurata con un router (es. Router-on-a-stick) o uno switch Layer 3 che effettua l'Inter-VLAN routing, gli host possono comunicare."
5. Le reti 192.168.1.0/24 e 192.168.2.0/24 sono aggregabili in: (1943), , ,0.0.0.0/0, ,C,"Le reti 1.0/24 e 2.0/24 non sono contigue in un blocco /23 standard (che unirebbe 0.0 e 1.0, oppure 2.0 e 3.0). Tuttavia, la risposta C (Default Route) è l'unica che tecnicamente le include entrambe in un'aggregazione valida, sebbene molto ampia."
"6. La tecnica ""Path Vector"" impiegata dal BGP: (1939)",Memorizza nei Path Vectors l'elenco degli Autonomous Systems da attraversare per raggiungere una data rete di destinazione, , , ,A,"Il BGP è un protocollo Path Vector che utilizza l'attributo AS-PATH per tracciare la sequenza di Autonomous System attraversati, fondamentale per evitare loop di routing."
7. The Interface ID of an ipv6 address (2618), ,Can be arbttranty selected. sometimes It ts denved from the MAC address of the Interface, , ,B,L'Interface ID (ultimi 64 bit) può essere generato tramite EUI-64 (basato sul MAC address) oppure generato casualmente (Privacy Extensions) o assegnato manualmente.
8. Un algoritmo di routing di tipo selective flooding: (2165), , ,Consente di ridurre il numero di volte in cui un pacchetto viene inviato sulla stessa porzione di rete, ,C,"Il selective flooding ottimizza il flooding tradizionale inviando i pacchetti solo verso nodi o direzioni pertinenti, riducendo il carico e la ridondanza sulla rete."
9. Secondo 6PE (2694),I router Provider Edge (PE) sono dual stack, , , ,A,"In 6PE, i router PE devono essere Dual Stack (IPv4/IPv6) per incapsulare i pacchetti IPv6 dentro MPLS e trasportarli attraverso un core (P routers) che può rimanere solo IPv4."
"10. A differenza della versione 4 dell'IP, la versione 6: (1895)", , ,Non ha indirizzi broadcast., ,C,IPv6 non utilizza il broadcast. Le funzioni precedentemente svolte dal broadcast (come ARP o messaggi a tutti i nodi) sono gestite tramite indirizzi Multicast specifici.
