id,question,optionA,optionB,optionC,optionD,answer
,"In computing virtualization, the Trap-And-Emulate approach:",Is used only to intercept sensitive (and not privileged) CPU instructions.,Is used only to intercept privileged CPU instructions.,Is used only to intercept system calls.,Can be used to emulate all the instructions that generate a trap.,D
,CPU para-virtualization:,Replaces some source code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.,Replaces system calls with an equivalent function of the GuestOS kernel.,Replaces system calls with an equivalent function of the HostOS kernel.,Replaces some binary code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.,A
,Modern CPUs:,"Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed).","Have 8 CPU rings, but we can use only 4 of them at each time.","Have many CPU rings, and 2 of them are intended for executing OS kernels.",Have 8 CPU rings (from least to most privileged),C
,Dynamic binary translation:,Always refers to an instruction executed by the HostOS kernel.,Can refer to an instruction executed by GuestOS kernel.,Always refers to an instruction executed by userland applications.,Always refers to an instruction executed by the GuestOS kernel.,B
,"In a virtualized system, VMEntry and VMExit instructions:",Enable fast transitions between userspace and GuestOS kernel.,Are almost equivalent to the Trap-And-Emulate approach.,Enable fast transitions between GuestOS and HostOS kernels.,Enable fast transitions between userspace and HostOS kernel.,C
,"In computing virtualization, a hypervisor:",Must use para-virtualization techniques to emulate a very large number of physical devices.,Must use direct I/O assignment techniques to emulate a very large number of physical devices.,Is usually able to emulate a very large number of physical devices.,Is usually able to emulate a very small number of physical devices.,D
,"The image (i.e., ISO) of a modern operating system used in a VM:","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para-virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para-virtualized devices (eg., VIRTIO).",B
,Libvirt:,"Provides graphical access to VMs running on different hypervisors (KVM, VMware, etc).",Provides graphical access to KVM-based VMs.,Simplifies the interaction with KVM-based VMs.,"Simplifies the interaction with VMs running on different hypervisors (KVM, Vmware, etc).",D
,In Linux:,Both QEMU and KVM run in user space.,Both QEMU and KVM run in kernel space.,"QEMU runs in kernel space, KVM runs in user space.","QEMU runs in user space, KVM runs in kernel space.",D
,Implementing a hot migration of a VM to another server requires moving the state of:,The applications running in the VM.,"The entire VM (i.e., applications and GuestOS kernel).","The entire VM (i.e., applications and GuestOS kernel) plus the state of the hypervisor.","The entire VM (i.e., applications and GuestOS kernel), plus some additional data kept in the hypervisor.",D
,"In computing virtualization, a sensitive instruction:", Is always a privileged instruction., Is never a privileged instruction.,Is an instruction that has to be handled with Trap-And-Emulate.,Is an instruction that may leak information about the current running kernel context.,D
,An instruction executed at CPU ring 0 (VMX non-root mode):,Can generate a trap if it is a privileged instruction.,Can never generates a trap., Can generate a trap if it is a sensitive and privileged instruction.,Can generate a trap if it is a sensitive instruction.,A
,A CPU that supports VMX root/non-root modes:,Is more efficient when handling privileged instructions in the GuestOS.,Never experiences traps when running code in VMX non-root mode.,Is more efficient when handling privileged instructions in the Host.,Is more efficient when handling system calls.,D
,When the Trap-And-Emulate is used to handle a userland program invoking a system call:,We experience two transitions: User space --> GuestOS kernel --> HostOS kernel.,We experience two transitions: User space --> HostOS kernel --> GuestOS kernel.,We experience three transitions: User space --> HostOS kernel --> GuestOS kernel --> HostOS kernel.,We experience one transition: User space --> GuestOS kernel.,B
,"In computing virtualization, the direct assignment for I/O devices identifies:",A real device that is completely controlled by the HostOS.,A real device that is completely controlled by the GuestOS.,A virtual device that is completely controlled by the HostOS.,A virtual device that is completely controlled by the GuestOS,B
,When the GuestOS boots in a virtualized environment:,It can detect a few of the real devices present on the hosting server.,It can detect all the real devices present on the hosting server.,It usually detects a set of real devices presented to it by the hypervisor.,It usually detects a set of virtual devices presented to it by the hypervisor,D
,A VIRTIO driver:,Makes a limited use of syscalls.,Does not use VMENTRY/VMEXIT operations.,Makes an extensive use of syscalls.,Makes an extensive use of VMENTRY/VMEXIT operations,B
,When Linux leverages the KVM hypervisor:,"QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 3 (VMX root), the GuestOS runs at ring 0 (VMX non-root).",D
,"In Linux, tools such as virsh and virt-manager:",Enable users to interact with KVM-based VMs through a graphical interface.,"Simplify the creation of software that controls VMs running on different hypervisors (KVM, Vmware, etc).",Simplify the creation of software that controls KVM-based VMs.,Enable users to interact with KVM-based VMs in a user-friendly way,B
,"The state of a VM, which is required to implement a hot migration, can be found in / consists in:",The content of the entire memory allocated to the VM.,The content of the memory used by the VM.,The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.,The content of the entire memory allocated to the VM plus the entire state of the hypervisor.,C
,"The image of a modern operating system that can be used to start a VM (e.g., an Ubuntu ISO cloud image):","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para virtualized devices (eg., VIRTIO).","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).",B
